,ds,dv,dt,method,acc
73,FashionMNIST,MNIST,CIFAR10,NeuronActivationPatterns/Resnet,0.89545
74,FashionMNIST,MNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.89275
75,FashionMNIST,MNIST,STL10,NeuronActivationPatterns/Resnet,0.881188
76,FashionMNIST,MNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.88405
77,FashionMNIST,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.8865
78,FashionMNIST,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.91635
79,FashionMNIST,NotMNIST,MNIST,NeuronActivationPatterns/Resnet,0.91
80,FashionMNIST,NotMNIST,CIFAR10,NeuronActivationPatterns/Resnet,0.90215
81,FashionMNIST,NotMNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.89765
82,FashionMNIST,NotMNIST,STL10,NeuronActivationPatterns/Resnet,0.892
83,FashionMNIST,NotMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.895
84,FashionMNIST,CIFAR10,UniformNoise,NeuronActivationPatterns/Resnet,0.85865
85,FashionMNIST,CIFAR10,NormalNoise,NeuronActivationPatterns/Resnet,0.90495
86,FashionMNIST,CIFAR10,MNIST,NeuronActivationPatterns/Resnet,0.91625
87,FashionMNIST,CIFAR10,NotMNIST,NeuronActivationPatterns/Resnet,0.881596
88,FashionMNIST,CIFAR10,CIFAR100,NeuronActivationPatterns/Resnet,0.898
89,FashionMNIST,CIFAR10,STL10,NeuronActivationPatterns/Resnet,0.890688
90,FashionMNIST,CIFAR10,TinyImagenet,NeuronActivationPatterns/Resnet,0.8939
91,FashionMNIST,CIFAR100,UniformNoise,NeuronActivationPatterns/Resnet,0.87845
92,FashionMNIST,CIFAR100,NormalNoise,NeuronActivationPatterns/Resnet,0.9144
93,FashionMNIST,CIFAR100,MNIST,NeuronActivationPatterns/Resnet,0.91305
94,FashionMNIST,CIFAR100,NotMNIST,NeuronActivationPatterns/Resnet,0.881596
95,FashionMNIST,CIFAR100,CIFAR10,NeuronActivationPatterns/Resnet,0.90335
96,FashionMNIST,CIFAR100,STL10,NeuronActivationPatterns/Resnet,0.892188
97,FashionMNIST,CIFAR100,TinyImagenet,NeuronActivationPatterns/Resnet,0.89625
98,FashionMNIST,STL10,UniformNoise,NeuronActivationPatterns/Resnet,0.89345
99,FashionMNIST,STL10,NormalNoise,NeuronActivationPatterns/Resnet,0.9166
100,FashionMNIST,STL10,MNIST,NeuronActivationPatterns/Resnet,0.90635
101,FashionMNIST,STL10,NotMNIST,NeuronActivationPatterns/Resnet,0.879246
102,FashionMNIST,STL10,CIFAR10,NeuronActivationPatterns/Resnet,0.90085
103,FashionMNIST,STL10,CIFAR100,NeuronActivationPatterns/Resnet,0.8955
104,FashionMNIST,STL10,TinyImagenet,NeuronActivationPatterns/Resnet,0.89345
105,FashionMNIST,TinyImagenet,UniformNoise,NeuronActivationPatterns/Resnet,0.8701
106,FashionMNIST,TinyImagenet,NormalNoise,NeuronActivationPatterns/Resnet,0.90935
107,FashionMNIST,TinyImagenet,MNIST,NeuronActivationPatterns/Resnet,0.91425
108,FashionMNIST,TinyImagenet,NotMNIST,NeuronActivationPatterns/Resnet,0.881062
109,FashionMNIST,TinyImagenet,CIFAR10,NeuronActivationPatterns/Resnet,0.90295
110,FashionMNIST,TinyImagenet,CIFAR100,NeuronActivationPatterns/Resnet,0.898
111,FashionMNIST,TinyImagenet,STL10,NeuronActivationPatterns/Resnet,0.89125
112,CIFAR10,UniformNoise,NormalNoise,NeuronActivationPatterns/Resnet,0.88815
113,CIFAR10,UniformNoise,MNIST,NeuronActivationPatterns/Resnet,0.9253
114,CIFAR10,UniformNoise,NotMNIST,NeuronActivationPatterns/Resnet,0.8725
115,CIFAR10,UniformNoise,FashionMNIST,NeuronActivationPatterns/Resnet,0.862049
116,CIFAR10,UniformNoise,CIFAR100,NeuronActivationPatterns/Resnet,0.75575
117,CIFAR10,UniformNoise,TinyImagenet,NeuronActivationPatterns/Resnet,0.7715
118,CIFAR10,NormalNoise,UniformNoise,NeuronActivationPatterns/Resnet,0.9408
119,CIFAR10,NormalNoise,MNIST,NeuronActivationPatterns/Resnet,0.92675
120,CIFAR10,NormalNoise,NotMNIST,NeuronActivationPatterns/Resnet,0.8885
121,CIFAR10,NormalNoise,FashionMNIST,NeuronActivationPatterns/Resnet,0.878124
122,CIFAR10,NormalNoise,CIFAR100,NeuronActivationPatterns/Resnet,0.78945
123,CIFAR10,NormalNoise,TinyImagenet,NeuronActivationPatterns/Resnet,0.80675
124,CIFAR10,MNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.9502
125,CIFAR10,MNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.91255
126,CIFAR10,MNIST,NotMNIST,NeuronActivationPatterns/Resnet,0.88305
127,CIFAR10,MNIST,FashionMNIST,NeuronActivationPatterns/Resnet,0.87492
128,CIFAR10,MNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.77525
129,CIFAR10,MNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.79245
130,CIFAR10,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.94095
131,CIFAR10,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.9213
132,CIFAR10,NotMNIST,MNIST,NeuronActivationPatterns/Resnet,0.92675
133,CIFAR10,NotMNIST,FashionMNIST,NeuronActivationPatterns/Resnet,0.878124
134,CIFAR10,NotMNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.78945
135,CIFAR10,NotMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.80675
136,CIFAR10,FashionMNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.9367
137,CIFAR10,FashionMNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.92305
138,CIFAR10,FashionMNIST,MNIST,NeuronActivationPatterns/Resnet,0.9248
139,CIFAR10,FashionMNIST,NotMNIST,NeuronActivationPatterns/Resnet,0.88885
140,CIFAR10,FashionMNIST,CIFAR100,NeuronActivationPatterns/Resnet,0.79345
141,CIFAR10,FashionMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.8113
142,CIFAR10,CIFAR100,UniformNoise,NeuronActivationPatterns/Resnet,0.8981
143,CIFAR10,CIFAR100,NormalNoise,NeuronActivationPatterns/Resnet,0.8943
144,CIFAR10,CIFAR100,MNIST,NeuronActivationPatterns/Resnet,0.89325
145,CIFAR10,CIFAR100,NotMNIST,NeuronActivationPatterns/Resnet,0.8733
146,CIFAR10,CIFAR100,FashionMNIST,NeuronActivationPatterns/Resnet,0.863224
147,CIFAR10,CIFAR100,TinyImagenet,NeuronActivationPatterns/Resnet,0.82055
148,CIFAR10,TinyImagenet,UniformNoise,NeuronActivationPatterns/Resnet,0.89805
149,CIFAR10,TinyImagenet,NormalNoise,NeuronActivationPatterns/Resnet,0.8957
150,CIFAR10,TinyImagenet,MNIST,NeuronActivationPatterns/Resnet,0.89325
151,CIFAR10,TinyImagenet,NotMNIST,NeuronActivationPatterns/Resnet,0.8733
152,CIFAR10,TinyImagenet,FashionMNIST,NeuronActivationPatterns/Resnet,0.863224
153,CIFAR10,TinyImagenet,CIFAR100,NeuronActivationPatterns/Resnet,0.8038
154,CIFAR100,UniformNoise,NormalNoise,NeuronActivationPatterns/Resnet,0.83565
