,ds,dv,dt,method,acc
68,MNIST,NormalNoise,STL10,ProbThresh/Resnet,0.9241250157356262
69,MNIST,NormalNoise,TinyImagenet,ProbThresh/Resnet,0.9179999828338623
70,MNIST,FashionMNIST,UniformNoise,ProbThresh/Resnet,0.6661499738693237
71,MNIST,FashionMNIST,NormalNoise,ProbThresh/Resnet,0.8534500002861023
72,MNIST,FashionMNIST,NotMNIST,ProbThresh/Resnet,0.8896068930625916
73,MNIST,FashionMNIST,CIFAR10,ProbThresh/Resnet,0.9314499497413635
74,MNIST,FashionMNIST,CIFAR100,ProbThresh/Resnet,0.9163999557495117
75,MNIST,FashionMNIST,STL10,ProbThresh/Resnet,0.9364375472068787
76,MNIST,FashionMNIST,TinyImagenet,ProbThresh/Resnet,0.9263499975204468
77,MNIST,NotMNIST,UniformNoise,ProbThresh/Resnet,0.6805499792098999
78,MNIST,NotMNIST,NormalNoise,ProbThresh/Resnet,0.8616499900817871
79,MNIST,NotMNIST,FashionMNIST,ProbThresh/Resnet,0.913100004196167
80,MNIST,NotMNIST,CIFAR10,ProbThresh/Resnet,0.9273499846458435
81,MNIST,NotMNIST,CIFAR100,ProbThresh/Resnet,0.914900004863739
82,MNIST,NotMNIST,STL10,ProbThresh/Resnet,0.9307500720024109
83,MNIST,NotMNIST,TinyImagenet,ProbThresh/Resnet,0.9232499599456787
84,MNIST,CIFAR10,UniformNoise,ProbThresh/Resnet,0.6428499817848206
85,MNIST,CIFAR10,NormalNoise,ProbThresh/Resnet,0.8385499715805054
86,MNIST,CIFAR10,FashionMNIST,ProbThresh/Resnet,0.9134999513626099
87,MNIST,CIFAR10,NotMNIST,ProbThresh/Resnet,0.8845332264900208
88,MNIST,CIFAR10,CIFAR100,ProbThresh/Resnet,0.9146999716758728
89,MNIST,CIFAR10,STL10,ProbThresh/Resnet,0.9396875500679016
90,MNIST,CIFAR10,TinyImagenet,ProbThresh/Resnet,0.9272499680519104
91,MNIST,CIFAR100,UniformNoise,ProbThresh/Resnet,0.6335499882698059
92,MNIST,CIFAR100,NormalNoise,ProbThresh/Resnet,0.8299499750137329
93,MNIST,CIFAR100,FashionMNIST,ProbThresh/Resnet,0.9125999808311462
94,MNIST,CIFAR100,NotMNIST,ProbThresh/Resnet,0.8735312819480896
95,MNIST,CIFAR100,CIFAR10,ProbThresh/Resnet,0.9325000047683716
96,MNIST,CIFAR100,STL10,ProbThresh/Resnet,0.9393125176429749
97,MNIST,CIFAR100,TinyImagenet,ProbThresh/Resnet,0.9264000058174133
98,MNIST,STL10,UniformNoise,ProbThresh/Resnet,0.5829499959945679
99,MNIST,STL10,NormalNoise,ProbThresh/Resnet,0.7629500031471252
100,MNIST,STL10,FashionMNIST,ProbThresh/Resnet,0.8890500068664551
101,MNIST,STL10,NotMNIST,ProbThresh/Resnet,0.843409538269043
