,ds,dv,dt,method,acc
70,FashionMNIST,MNIST,UniformNoise,NeuronActivationPatterns/VGG,0.669399976730347
71,FashionMNIST,MNIST,NormalNoise,NeuronActivationPatterns/VGG,0.680350005626678
72,FashionMNIST,MNIST,NotMNIST,NeuronActivationPatterns/VGG,0.959570586681366
73,FashionMNIST,MNIST,CIFAR10,NeuronActivationPatterns/VGG,0.96764999628067
74,FashionMNIST,MNIST,CIFAR100,NeuronActivationPatterns/VGG,0.967199981212616
75,FashionMNIST,MNIST,STL10,NeuronActivationPatterns/VGG,0.965312480926514
76,FashionMNIST,MNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.969950020313263
77,FashionMNIST,NotMNIST,UniformNoise,NeuronActivationPatterns/VGG,0.666499972343445
78,FashionMNIST,NotMNIST,NormalNoise,NeuronActivationPatterns/VGG,0.677100002765656
79,FashionMNIST,NotMNIST,MNIST,NeuronActivationPatterns/VGG,0.941799998283386
80,FashionMNIST,NotMNIST,CIFAR10,NeuronActivationPatterns/VGG,0.96764999628067
81,FashionMNIST,NotMNIST,CIFAR100,NeuronActivationPatterns/VGG,0.967199981212616
82,FashionMNIST,NotMNIST,STL10,NeuronActivationPatterns/VGG,0.965312480926514
83,FashionMNIST,NotMNIST,TinyImagenet,NeuronActivationPatterns/VGG,0.969950020313263
84,FashionMNIST,CIFAR10,UniformNoise,NeuronActivationPatterns/VGG,0.575299978256226
85,FashionMNIST,CIFAR10,NormalNoise,NeuronActivationPatterns/VGG,0.587000012397766
86,FashionMNIST,CIFAR10,MNIST,NeuronActivationPatterns/VGG,0.887650012969971
87,FashionMNIST,CIFAR10,NotMNIST,NeuronActivationPatterns/VGG,0.913640260696411
88,FashionMNIST,CIFAR10,CIFAR100,NeuronActivationPatterns/VGG,0.974300026893616
89,FashionMNIST,CIFAR10,STL10,NeuronActivationPatterns/VGG,0.97531247138977
90,FashionMNIST,CIFAR10,TinyImagenet,NeuronActivationPatterns/VGG,0.981100022792816
91,FashionMNIST,CIFAR100,UniformNoise,NeuronActivationPatterns/VGG,0.581250011920929
92,FashionMNIST,CIFAR100,NormalNoise,NeuronActivationPatterns/VGG,0.581499993801117
93,FashionMNIST,CIFAR100,MNIST,NeuronActivationPatterns/VGG,0.887650012969971
94,FashionMNIST,CIFAR100,NotMNIST,NeuronActivationPatterns/VGG,0.913640260696411
95,FashionMNIST,CIFAR100,CIFAR10,NeuronActivationPatterns/VGG,0.975600004196167
96,FashionMNIST,CIFAR100,STL10,NeuronActivationPatterns/VGG,0.97531247138977
97,FashionMNIST,CIFAR100,TinyImagenet,NeuronActivationPatterns/VGG,0.981100022792816
98,FashionMNIST,STL10,UniformNoise,NeuronActivationPatterns/VGG,0.574750006198883
99,FashionMNIST,STL10,NormalNoise,NeuronActivationPatterns/VGG,0.5869500041008
100,FashionMNIST,STL10,MNIST,NeuronActivationPatterns/VGG,0.887650012969971
101,FashionMNIST,STL10,NotMNIST,NeuronActivationPatterns/VGG,0.913640260696411
102,FashionMNIST,STL10,CIFAR10,NeuronActivationPatterns/VGG,0.975600004196167
103,FashionMNIST,STL10,CIFAR100,NeuronActivationPatterns/VGG,0.974300026893616
104,FashionMNIST,STL10,TinyImagenet,NeuronActivationPatterns/VGG,0.981100022792816
105,FashionMNIST,TinyImagenet,UniformNoise,NeuronActivationPatterns/VGG,0.57779997587204
106,FashionMNIST,TinyImagenet,NormalNoise,NeuronActivationPatterns/VGG,0.585349977016449
107,FashionMNIST,TinyImagenet,MNIST,NeuronActivationPatterns/VGG,0.887650012969971
108,FashionMNIST,TinyImagenet,NotMNIST,NeuronActivationPatterns/VGG,0.913640260696411
109,FashionMNIST,TinyImagenet,CIFAR10,NeuronActivationPatterns/VGG,0.975600004196167
110,FashionMNIST,TinyImagenet,CIFAR100,NeuronActivationPatterns/VGG,0.974300026893616
111,FashionMNIST,TinyImagenet,STL10,NeuronActivationPatterns/VGG,0.97531247138977
112,CIFAR10,UniformNoise,NormalNoise,NeuronActivationPatterns/VGG,0.977999985218048
113,CIFAR10,UniformNoise,MNIST,NeuronActivationPatterns/VGG,0.947499990463257
114,CIFAR10,UniformNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.944999992847443
115,CIFAR10,UniformNoise,NotMNIST,NeuronActivationPatterns/VGG,0.977782547473908
116,CIFAR10,UniformNoise,CIFAR100,NeuronActivationPatterns/VGG,0.933000028133392
117,CIFAR10,UniformNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.933749973773956
118,CIFAR10,NormalNoise,UniformNoise,NeuronActivationPatterns/VGG,0.980700016021728
119,CIFAR10,NormalNoise,MNIST,NeuronActivationPatterns/VGG,0.947499990463257
120,CIFAR10,NormalNoise,FashionMNIST,NeuronActivationPatterns/VGG,0.944999992847443
121,CIFAR10,NormalNoise,NotMNIST,NeuronActivationPatterns/VGG,0.977782547473908
122,CIFAR10,NormalNoise,CIFAR100,NeuronActivationPatterns/VGG,0.933000028133392
123,CIFAR10,NormalNoise,TinyImagenet,NeuronActivationPatterns/VGG,0.933749973773956
124,CIFAR10,MNIST,UniformNoise,NeuronActivationPatterns/VGG,0.971000015735626
125,CIFAR10,MNIST,NormalNoise,NeuronActivationPatterns/VGG,0.970499992370606
126,CIFAR10,MNIST,FashionMNIST,NeuronActivationPatterns/VGG,0.956700026988983
